index,image_url,source
0,https://i.pinimg.com/60x60/47/b0/c6/47b0c6fd774248b82ec60415dee377ed.jpg,Pinterest
1,https://i.pinimg.com/60x60/c2/51/af/c251af8ab78fc9838b883b0c8c743b86.jpg,Pinterest
2,https://i.pinimg.com/60x60/9f/e5/c5/9fe5c5fb8eb05fc6607aab1f7a699dad.jpg,Pinterest
3,https://i.pinimg.com/60x60/ae/e8/6f/aee86f12d29ab56c931ac32fa798f413.jpg,Pinterest
4,https://i.pinimg.com/60x60/3b/04/86/3b0486ea8f25b494b2c387b8f908bf27.jpg,Pinterest
5,https://i.pinimg.com/60x60/ff/c9/a3/ffc9a35aabf19bd1b463d542a31dba4e.jpg,Pinterest
6,https://i.pinimg.com/60x60/a6/a3/d9/a6a3d9658327d59a17da90aaa9b1ac5f.jpg,Pinterest
7,https://i.pinimg.com/60x60/ec/56/79/ec56799bda0b9cd720a960b118ce0977.jpg,Pinterest
8,https://i.pinimg.com/60x60/84/d2/d2/84d2d2d59338c05ac4ed3e8ea7b97be4.jpg,Pinterest
9,https://i.pinimg.com/60x60/2b/b5/6c/2bb56cbc6b294a4b290534e307ab7962.jpg,Pinterest
10,https://i.pinimg.com/60x60/17/9d/43/179d43f4a1913b2d691f0dcd9b8ad812.jpg,Pinterest
11,https://i.pinimg.com/60x60/0f/22/d1/0f22d1c6888cb56a973f5f8c3ae99edf.jpg,Pinterest
